"Station"	"Season"	"MT5"	"MT95"	"MTX5"	"MTX95"	"MTN5"	"MTN95"	"RRR5Y"	"FF5Y"
2096	"spring"	0	11.24	0	17.54	0	12.03	46.25	8.82
2096	"summer"	0	6.63	0	9.33	0	9.8	129.35	12.61
2096	"autumn"	0	12.74	0	16	0	15.79	137.39	10.35
2102	"winter"	0.05	9.25	0.1	11	0	10.59	NA	36.46
2102	"spring"	0	8.25	0	9.18	0	9.63	NA	30.3
2102	"summer"	0.05	7.26	0	7.91	0	8.5	NA	21.87
2102	"autumn"	0	8.21	0	9.18	0	10.02	NA	30.04
2103	"winter"	0.05	9.15	0	10.5	0	10.59	NA	24.85
2103	"spring"	0	8.1	0	8.99	0	9.76	NA	19.03
2103	"summer"	0.05	7.24	0	7.2	0	9.6	NA	17.66
2103	"autumn"	0	9.17	0	10.4	0	10.76	NA	21.14
2104	"winter"	0.02	17.95	0	21	0	20.15	87.38	20.41
2104	"spring"	0	12.27	0	18.12	0	10.6	109.49	13.31
2104	"summer"	0	6	0	9.3	0	9.5	59.84	13.38
2104	"autumn"	0	12.13	0	14.17	0	13.02	53.4	16.44
2110	"winter"	0.05	18.88	0.1	25.1	0	22.21	57.53	7.61
2110	"spring"	0.05	13.68	0	21.7	0	11.34	54.59	9.08
2110	"summer"	0.05	7.09	0	10.45	0	8.7	77.47	6.26
2110	"autumn"	0.05	14.34	0	16.9	0	15.38	43.84	9.26
2120	"winter"	0.09	19.6	0.09	23	0	22.29	211.22	15.94
2120	"spring"	0.05	12.47	0.03	18	0	12.53	73.68	11.1
2120	"summer"	0.05	6.25	0	9.51	0	9.1	82.23	12.88
2120	"autumn"	0.05	12.88	0	15.61	0	14.55	63.17	22.65
2121	"winter"	0.05	15.05	0.1	20.25	0.1	16.85	53.12	17.73
2121	"spring"	0.05	11.76	0	18.4	0	9.61	57.18	10.12
2121	"summer"	0	6.14	0	9.1	0	9.15	119.44	7.03
2121	"autumn"	0.05	13.42	0.01	16	0.02	14.55	54.71	11.3
2124	"winter"	0.05	15.35	0.1	19.93	0	18	20.52	15.77
2124	"spring"	0.05	11.86	0	16.2	0	11.9	62.32	16.31
2124	"summer"	0.05	6.45	0	8.1	0	8.6	87.09	12.39
2124	"autumn"	0.05	13.52	0	14.8	0	13.72	55.8	14.46
2128	"winter"	0.05	16.66	0.1	21.58	0.1	19.7	47.38	16.27
2128	"spring"	0.05	11.57	0	17	0	12.61	28.46	28.73
2128	"summer"	0.05	6.48	0	9.07	0	8.93	75.08	15.1
2128	"autumn"	0.05	12.73	0	16.38	0	12.62	29.07	14.14
2135	"winter"	0.05	16.36	0.1	20.98	0.01	17.29	80.72	9.7
2135	"spring"	0.05	13.02	0	18.52	0	13.03	27.82	10.12
2135	"summer"	0.05	6.65	0	9.19	0	8.9	155.61	9.83
2135	"autumn"	0.05	14.48	0.08	17.42	0	15.12	29.49	7.57
2141	"winter"	0.05	10.9	0.1	15.88	0	12.25	25.04	9.19
2141	"spring"	0.04	10.78	0.1	14.98	0	12.5	52.87	11.34
2141	"summer"	0.05	6.82	0	9.16	0.1	9.66	89.9	11.14
2141	"autumn"	0.05	11.88	0	14	0	10.98	53.03	9.54
2146	"winter"	0.05	19.65	0.1	24.7	0.1	20.83	NA	12.46
2146	"spring"	0.05	13	0.1	20.6	0	12.51	NA	12.93
2146	"summer"	0.05	6.74	0	8.06	0	8.75	NA	9.59
2146	"autumn"	0.05	15.13	0	18.31	0	17.17	NA	8.8
2147	"winter"	0.05	13.45	0.1	18.72	0	14.66	26.3	9.18
2147	"spring"	0.05	11.58	0	14.78	0	12.87	43.74	9.28
2147	"summer"	0.05	7	0	8.62	0	8.58	77.96	10.31
2147	"autumn"	0.05	11.54	0	13.34	0	11.83	66.1	9.46
2149	"winter"	0.05	14.98	0.1	20.7	0	16.35	25.28	11.91
2149	"spring"	0.05	12.04	0	15.83	0	13	51.4	11.78
2149	"summer"	0	6.55	0	8.1	0	8.49	83.52	13.62
2149	"autumn"	0.05	12.49	0	15.95	0	13.74	40.97	9.95
2151	"winter"	0.05	15	0.1	19.41	0.1	18.28	37.83	9.71
2151	"spring"	0.05	11.06	0.1	16.31	0	11.69	116.66	10.49
2151	"summer"	0	6.64	0.1	9.38	0	8.9	121.64	11.59
2151	"autumn"	0.05	11.7	0	14.9	0	12.33	115.39	8.01
2154	"winter"	0.05	16.4	0.1	22.38	0	18.4	42.76	12.66
2154	"spring"	0.05	12.92	0.1	17.94	0	13.22	103.43	11.33
2154	"summer"	0	6.82	0	10.1	0	9.37	77.92	10.78
2154	"autumn"	0.05	14.31	0.1	16.9	0	14.24	204.47	15.38
2161	"winter"	0.05	17.05	0.1	21.78	0	18.39	36.08	9.65
2161	"spring"	0.05	13.34	0	20.32	0	13.38	24.09	9.2
2161	"summer"	0	6.47	0	9.4	0	9.6	42.24	8.74
2161	"autumn"	0.05	15.15	0	18.45	0	16.38	45.49	11.91
2173	"winter"	0.05	17.4	0.1	24.08	0	19.3	32.03	9.96
2173	"spring"	0.05	13.24	0.1	19.98	0	12.47	38.47	10.06
2173	"summer"	0.05	7.06	0	11.09	0	9.05	75.43	7.94
2173	"autumn"	0.05	14.05	0.1	17.03	0	15.47	93.19	8.17
2174	"winter"	0.1	16.35	0.1	20.6	0	18.31	17.5	6.64
2174	"spring"	0.05	12.36	0.1	17.2	0	13.36	57.05	7.56
2174	"summer"	0.05	6.91	0	10.29	0	9.17	57.55	6.49
2174	"autumn"	0.05	14.11	0.1	15.88	0	15.43	43.8	6.56
2176	"winter"	0.05	12.18	0	16.09	0	13.77	155.04	17.51
2176	"spring"	0.05	10.25	0	13.52	0	12.37	39.51	16.93
2176	"summer"	0	5.53	0	5.4	0	8	79.24	18.38
2176	"autumn"	0	9.49	0	10.8	0	10.53	57.79	16.35
2181	"winter"	0.05	15.77	0.1	20.6	0.1	17.16	37.86	8.55
2181	"spring"	0.05	12.49	0	16.19	0	12.3	25.37	7.23
2181	"summer"	0.05	6.49	0	8.5	0	9.35	40.36	6.48
2181	"autumn"	0.05	11.84	0.1	15	0	13.8	50.49	6.78
2184	"winter"	0.05	12.45	0.1	15.85	0	14.15	36.08	8.02
2184	"spring"	0.05	11.26	0	12.75	0	13.75	46.52	8.69
2184	"summer"	0.05	6.95	0	7.9	0	9.94	78.01	6.18
2184	"autumn"	0.05	10.91	0	12.55	0	16.76	55.29	8.4
2186	"winter"	0.05	13.92	0.1	18.82	0	15.63	82.93	12.89
2186	"spring"	0.05	11.07	0	14.8	0	12.2	82.06	12.24
2186	"summer"	0	5.9	0	7.4	0	8.2	103.08	12.26
2186	"autumn"	0.05	11.3	0	13.3	0	13.1	74.49	11.45
2188	"winter"	0.05	10.73	0	15.72	0	12.4	28.02	18.98
2188	"spring"	0.05	10.03	0	13.66	0	10.33	21.43	13.47
2188	"summer"	0	4.76	0	5.21	0	6.5	104.9	18.24
2188	"autumn"	0	7.92	0	8.79	0	7.1	45.24	17.32
2191	"winter"	0.05	13.36	0.1	17.5	0	14.68	67.59	16.96
2191	"spring"	0	11.33	0	14.98	0	11.21	48.38	14.47
2191	"summer"	0	5.58	0	6.44	0	7.29	59.74	13.97
2191	"autumn"	0.05	10.09	0	11.9	0	11.7	46.75	21.84
2196	"winter"	0.05	13.41	0.1	18.7	0	16.74	21.16	14.08
2196	"spring"	0.05	11.35	0	14.54	0	11.69	31.98	15.12
2196	"summer"	0	5.97	0	8.29	0	8.19	271.39	19.74
2196	"autumn"	0.05	9.93	0	12.5	0	11.49	30.28	20.12
