"Station"	"Season"	"MT5"	"MT95"	"MTX5"	"MTX95"	"MTN5"	"MTN95"	"RRR5Y"	"FF5Y"
52203	"summer"	0.05	6.6	0	8.4	0	11.1	19.49	6.64
52203	"autumn"	0	19.33	0	15.18	0	19.62	42.97	6.14
52323	"winter"	0.05	9.54	0	12.25	0	12.1	3.9	14.52
52323	"spring"	0.05	14.72	0.1	15.3	0	17.06	57.12	14.82
52323	"summer"	0.05	7.4	0	7.8	0	11.1	27.56	11.03
52323	"autumn"	0.05	16.01	0	14.96	0	17.4	34.86	13.25
52418	"winter"	0	8	0	10.56	0	10.48	7.74	11.37
52418	"spring"	0.05	14.42	0	13	0	16.6	38.53	13.44
52418	"summer"	0	6.66	0	8.2	0	11.11	42.66	7.14
52418	"autumn"	0	16.71	0	14.93	0	20.26	7.4	8.11
52436	"winter"	0.05	8.85	0.1	10.85	0	11.9	6.85	9.35
52436	"spring"	0.05	14.61	0.06	13.84	0	16.83	43.28	11.63
52436	"summer"	0.05	6.25	0	8.2	0	10.61	100.9	7.82
52436	"autumn"	0.05	17.66	0	14.83	0	17.68	39.17	8.61
52495	"winter"	0.05	11	0.1	13.61	0	12.68	6	11.2
52495	"spring"	0.05	16.7	0.1	15.25	0.1	16.92	65.54	13.2
52495	"summer"	0.05	7.3	0.1	8.2	0	10.3	45.44	10.33
52495	"autumn"	0.05	18.16	0	18.49	0.07	16.15	63.67	10.26
52533	"winter"	0.05	8.68	0	10	0	11.09	9.72	7.12
52533	"spring"	0.05	14.69	0.08	13.29	0	15.81	59.56	9.79
52533	"summer"	0.05	6.35	0	7.6	0	10.01	109.61	5.83
52533	"autumn"	0.02	17.09	0	14.75	0	16.83	39.47	6.9
52602	"winter"	0.05	6.49	0	11.15	0	8.29	3.3	13.49
52602	"spring"	0.05	11.38	0	13.46	0	13.22	36.55	13.73
52602	"summer"	0.05	5.7	0.1	8.9	0	8.6	50.49	10.4
52602	"autumn"	0.05	15.95	0	16.59	0	15.02	11.3	10.2
52652	"winter"	0.05	8.9	0	10.56	0	14.76	3.9	7.93
52652	"spring"	0.05	13.21	0	11.66	0	16.5	51.75	8.19
52652	"summer"	0	6.9	0	7.7	0.1	11.3	55.68	7.05
52652	"autumn"	0	15.72	0	16.31	0.1	14.8	41.79	6
52681	"winter"	0.05	9.55	0.1	10.25	0.01	12.7	9.26	8.43
52681	"spring"	0.05	14.54	0	12.46	0.09	16.6	28.86	9.76
52681	"summer"	0.05	7.65	0	7.2	0	11.3	74.28	7.45
52681	"autumn"	0.05	14.35	0	16.3	0	14.76	42.28	8.47
52737	"winter"	0.05	7.95	0	9.05	0	9.7	6.5	5.53
52737	"spring"	0.03	10.39	0	11.73	0.1	12.01	94.1	5.51
52737	"summer"	0.05	7.45	0	7.31	0.1	10.01	56.91	6.43
52737	"autumn"	0.05	13.34	0	12.12	0	14.04	24.51	4.43
52787	"winter"	0.05	10.15	0	9.6	0	13.5	19.64	14.13
52787	"spring"	0.05	12.93	0	12.67	0.1	15.22	24.61	14.05
52787	"summer"	0	6.5	0	5.7	0	9.3	50.27	13.33
52787	"autumn"	0.05	12.3	0	12.48	0.1	13.9	42.14	11.44
52818	"winter"	0.05	6.6	0	7.9	0	9.9	4.69	5.04
52818	"spring"	0.05	12.01	0	11.27	0	13.4	19.2	7.83
52818	"summer"	0.05	6.65	0	7.3	0	9.9	23.99	6.54
52818	"autumn"	0	14.33	0	13.35	0	14.39	13.68	5.13
52866	"winter"	0	6.64	0	9.4	0.02	11.45	15.63	7.83
52866	"spring"	0.05	10.25	0	10.74	0.1	13.8	41.69	5.77
52866	"summer"	0	5.85	0	6.5	0	11.2	78.27	4.89
52866	"autumn"	0	13.83	0	13.11	0	12.19	72.71	5.55
52996	"winter"	0.05	9.4	0	9.4	0.1	11.19	13.93	14.16
52996	"spring"	0.05	11.98	0	11.14	0.1	14.44	48.16	14.21
52996	"summer"	0	6.6	0	6	0	9.5	107.89	13.52
52996	"autumn"	0.05	11.92	0	11.55	0	12.41	49.34	12.69
53068	"winter"	0.05	12.64	0.1	12.3	0	14.2	35	12.74
53068	"spring"	0.05	18.8	0.08	15.32	0.1	18.45	20.19	13.52
53068	"summer"	0.05	8.8	0	8.6	0	11.4	74.73	10.6
53068	"autumn"	0.05	19.68	0.1	20.56	0.1	18.74	62.22	13.37
53083	"winter"	0.05	11.8	0	12.26	0	17.2	58.73	13.42
53083	"spring"	0.05	17.56	0.1	16.77	0.1	19.68	39.64	13.19
53083	"summer"	0.05	7.7	0	8	0	11.2	109.98	11.24
53083	"autumn"	0.05	20.29	0	21.96	0	20.46	63.45	10.28
53149	"winter"	0.05	12.07	0	12.51	0.1	14.35	10.37	13.47
53149	"spring"	0.05	17.64	0	16.62	0.1	20.5	44.59	12.86
53149	"summer"	0.05	8.65	0	8.6	0	11.3	43.82	10.91
53149	"autumn"	0	17.29	0	16.59	0.06	19.47	106.8	14.2
53192	"winter"	0.05	12.5	0.1	13.61	0.1	14.92	12.83	17.51
53192	"spring"	0.05	17.84	0	17.3	0.1	20.87	53.22	16.48
53192	"summer"	0.05	8	0	8.2	0	11.4	144.91	10.46
53192	"autumn"	0.05	20.98	0	20.7	0.1	19.2	172.46	13.5
53231	"winter"	0.05	11.77	0.1	13.01	0	13.7	7.1	15.46
53231	"spring"	0.1	16.45	0.1	14.83	0.1	18.05	54.99	15.65
53231	"summer"	0.05	8.05	0	8.7	0	10.2	44.22	12.35
53231	"autumn"	0.05	18.61	0	16.47	0.1	17.42	20.7	13.22
53276	"winter"	0.05	13.47	0.1	13.8	0	15.8	7.3	14.14
53276	"spring"	0.1	17.1	0.1	17.38	0.1	19.97	21.78	13.4
53276	"summer"	0.05	7.95	0	8.5	0	11.1	197.73	11.15
53276	"autumn"	0.05	16.7	0.1	16.7	0	19	51.31	12.04
53336	"winter"	0.05	10.38	0.1	11.4	0	12.33	12.98	11.08
53336	"spring"	0.05	17.55	0.1	13.68	0	17.14	98.13	11.25
53336	"summer"	0.05	6.9	0	7.5	0	9.5	86.48	8.85
53336	"autumn"	0.02	18.2	0	18.12	0	18.76	87.48	8.33
53352	"winter"	0.05	11.65	0.1	13.85	0.1	14.3	9.19	7.87
53352	"spring"	0.05	17.43	0.1	16.1	0.1	20.74	30.39	10.54
53352	"summer"	0.05	7.5	0	8.5	0	10.6	125.91	7.56
53352	"autumn"	0.05	15.99	0.1	15.96	0	19.9	107.8	10.37
53391	"winter"	0.05	13	0	12.1	0.1	15.37	67.15	12.35
53391	"spring"	0.05	17.51	0.06	15.84	0.1	19.3	25.65	13.93
53391	"summer"	0	6.75	0	7	0	10.5	131.1	7.57
53391	"autumn"	0.05	16.36	0	15.79	0	17.61	53.04	10.07
53463	"winter"	0	11.19	0	11.66	0	12.38	79.06	12.82
53463	"spring"	0.05	14.28	0	13.04	0.1	17.34	35.96	9.09
53463	"summer"	0	6.25	0	7	0	9.7	117.25	6.42
53463	"autumn"	0.05	14.79	0	18.78	0	13.96	163.05	9.92
53480	"winter"	0.05	11.57	0	12.26	0	14.63	8.17	10.41
53480	"spring"	0.05	17.28	0	15.33	0.1	18.8	48.62	12.46
53480	"summer"	0	6.15	0	7.6	0	10.1	130.54	12.15
53480	"autumn"	0.05	15.61	0	16.39	0.1	16.58	71.57	8.91
53502	"winter"	0.05	10.83	0	12.27	0	12.46	7.4	9.93
53502	"spring"	0.05	12.73	0.07	14.86	0.1	15.81	80.7	11.95
53502	"summer"	0.05	6.85	0	7.7	0	10.5	43.8	8.35
53502	"autumn"	0	17.86	0.1	19.16	0	15.57	22.88	10.02
